10,63195616219,63195616219,63103440043,0,1.00,1.00
10,63195616219,63195616219,2677384618,0,23.60,23.60
10,63195616219,63195616219,1944883788,0,32.49,32.49
10,63195616219,63195616219,2058527349,0,30.70,30.70
10,63195616219,63195616219,2279503177,0,27.72,27.72
100,63195616219,63195616219,63276490885,0,1.00,1.00
100,63195616219,63195616219,2614200655,0,24.17,24.17
100,63195616219,63195616219,1969220161,0,32.09,32.09
100,63195616219,63195616219,2063323069,0,30.63,30.63
100,63195616219,63195616219,2286698290,0,27.64,27.64
500,63195616219,63195616219,63350869444,0,1.00,1.00
500,63195616219,63195616219,2651539503,0,23.83,23.83
500,63195616219,63195616219,1954408938,0,32.33,32.33
500,63195616219,63195616219,2064983000,0,30.60,30.60
500,63195616219,63195616219,2292457673,0,27.57,27.57
1000,63195616219,63195616219,63343227187,0,1.00,1.00
1000,63195616219,63195616219,2723500194,0,23.20,23.20
1000,63195616219,63195616219,1973116438,0,32.03,32.03
1000,63195616219,63195616219,2084786160,0,30.31,30.31
1000,63195616219,63195616219,2295482142,0,27.53,27.53
