Local Multi Thread,Threshold: 10, Cores: 1,66196333345,65879700720,66003797825,66147658119,66126629702,66168916913,66197490985,66209801945,66177219750,66108756029,66018340357,65987460824,66054046636,66137603669,66188049356
Local Multi Thread,Threshold: 10, Cores: 32,2767171123,2697449961,2785587509,2750169593,2617388183,2861229141,2651216720,2788985150,2698643836,2765459015,2824535728,2653720679,2754221457,2683895110,3030042396
Local Multi Thread,Threshold: 10, Cores: 64,1889400555,1858485153,1856471589,1900030412,1866645091,1859166487,1864854226,1876215543,1856954196,1862529137,1876507402,1890247359,1864239867,1873232975,1883440047
Local Multi Thread,Threshold: 10, Cores: 96,2013800724,1970388676,1977472767,1962855603,1985592984,1989580404,1971391206,1942306257,1958410333,1948035646,1969174408,1955835709,1971444800,1975292262,1971066337
Local Multi Thread,Threshold: 10, Cores: 128,2178334014,2148381698,2142585472,2147869475,2167657881,2143915856,2128945169,2167170769,2149588894,2142619414,2132511235,2167810750,2144048387,2162873885,2168538952
Local Multi Thread,Threshold: 100, Cores: 1,64299074947,64208597051,64161490096,64143564909,64084091764,64076286190,64115025834,64164803699,64182128788,64167928900,64164957969,64139191262,64155362329,64181805813,64186037742
Local Multi Thread,Threshold: 100, Cores: 32,2622505489,2611975698,2606507003,2819342152,2815859828,2624363839,2819206671,2614819399,2792563151,2812873350,2824358138,2828719781,2596739609,2600556448,2627402832
Local Multi Thread,Threshold: 100, Cores: 64,1969135470,2029112400,1936203034,2038365270,2007183097,1937168258,1965183673,2063776902,2015753952,2003867029,1998239562,1948867633,2020842499,1952809140,2004284845
Local Multi Thread,Threshold: 100, Cores: 96,2137672869,2164983265,2088467878,2101976005,2091656318,2036064117,2117411559,2077434802,2131812655,2017416517,2134350413,2032196547,2091314113,2104014551,2056324625
Local Multi Thread,Threshold: 100, Cores: 128,2310136000,2254661126,2250911403,2214443734,2328777471,2303161605,2314682581,2389870436,2273813668,2304994510,2300985939,2297308046,2344251189,2287039810,2279489871
Local Multi Thread,Threshold: 500, Cores: 1,63811827102,63812528875,63808053430,63786958145,63790638226,63837755901,63695036116,63649908338,63807555188,63731515619,63586654572,63699419939,63744500752,63743038087,63750126568
Local Multi Thread,Threshold: 500, Cores: 32,3358434860,3343141505,3339348056,3350509097,3359211634,3378444740,3354054223,3349213190,3358927012,3325755398,3352095285,3340395890,3345266169,3329995733,3355337365
Local Multi Thread,Threshold: 500, Cores: 64,2076972353,1970916050,2058130728,2031176718,1976872144,1974003675,1987083249,1980756758,1972579163,1962711402,2036021657,1984037870,2042384456,2046780473,2010111881
Local Multi Thread,Threshold: 500, Cores: 96,2090229613,2460237135,2076773091,2026921986,1986688713,2067632869,2016218075,1976089152,2006298295,2065991751,1974552783,2052754777,2906758031,2126503094,2098874135
Local Multi Thread,Threshold: 500, Cores: 128,2228878750,2303380177,2274494134,1991683852,2059382984,2008191778,1988654503,2054560811,2048001183,2051890829,2019299009,1994806454,2019285268,2004200831,2087774419
Local Multi Thread,Threshold: 1000, Cores: 1,63616625618,63457496239,63621618702,63585765295,63566967529,63770442034,63811200835,63781514230,63804784083,63794381570,63783092078,63890400497,63792168788,63820674163,63806872060
Local Multi Thread,Threshold: 1000, Cores: 32,2530003022,2514337707,2514981774,2514312361,2514328239,2515263351,2519311536,2534586722,2518502503,2528144474,2524902199,2527491917,2529896508,2541603157,2531362349
Local Multi Thread,Threshold: 1000, Cores: 64,2547716716,2568713354,2583346300,2565475726,2551838188,2557529569,2556657948,2547813188,2572209735,2561722821,2557062478,2562723738,2562804623,2563321211,2564586468
Local Multi Thread,Threshold: 1000, Cores: 96,2660995444,2629814229,2647533277,2650187795,2650185831,2653608135,2648990861,2654399006,2657170240,2666476785,2660563570,2661869747,2639050226,2665313236,2669355341
Local Multi Thread,Threshold: 1000, Cores: 128,2596477352,2831507742,2650095197,2670217081,2663932881,2681665520,2679437508,2679895507,2671497787,2674576277,2664483044,2660949611,2645553687,2672845623,2665891432
